2025. 창의융합형 전남과학축전 부스 프로그램 목록

[표]
연번 | 구분 | 프로그램명 | 연구회명 | 비고(위치)
1 | 특수 | 커피콩의 물리적인 변화를 관찰하고 드립백 만들기 | 전남중등특수교육연구회 | 실외
2 | 특수 | 마음의 온도에 따라(열변색) | 어울림특수사이언스 | 실외
3 | 특수 | 로봇팔로 하이파이브 | 어울림특수사이언스 | 실외
4 | 초등 | Escape Room Factory(방탈출게임) | 과학을사랑하는사람들 | 실외
5 | 초등 | Escape Room Factory(방탈출게임) | 과학을사랑하는사람들 | 실외
6 | 초등 | VR과 메타버스로 떠나는 가상현실체험 | 과학을사랑하는사람들 | 실외
7 | 초등 | VR과 메타버스로 떠나는 가상현실체험 | 과학을사랑하는사람들 | 실외
8 | 초등 | 화학적 원리와 함께하는 세제 만들기 | 과학을사랑하는사람들 | 실외
9 | 초등 | 빙글빙글 소리빨대 | 과학을사랑하는사람들 | 실외
10 | 초등 | 빙빙이 | 과학을사랑하는사람들 | 실외
11 | 초등 | 무한거울 | 과학을사랑하는사람들 | 실외
12 | 초등 | 삼각뿔 만화경 | 과학을사랑하는사람들 | 실외
13 | 초등 | 창의적인 도미노 연결하기 | 과학을사랑하는사람들 | 실외
14 | 초등 | 기압 차이를 이용한 놀이기구 | 과학을사랑하는사람들 | 실외
15 | 초등 | 전자그네 | 과학을사랑하는사람들 | 실외
16 | 초등 | 디폼블럭스피너 | 과학을사랑하는사람들 | 실외
17 | 초등 | 창의융합 과학탐구보고서 작성 | 과학을사랑하는사람들 | 실외
18 | 초등 | 창의융합 과학탐구보고서 작성 | 과학을사랑하는사람들 | 실외
19 | 초등 | 창의융합 과학탐구보고서 작성 | 과학을사랑하는사람들 | 실외
20 | 초등 | 소리를 눈으로 보는 장치 | 과학나눔연구회 | 실외
21 | 초등 | 아두이노 모스부호 | 과학나눔연구회 | 실외
22 | 초등 | 뒤뚱뒤뚱 태엽로봇 | 여수초등과학교과연구회 | 실외
23 | 초등 | 일만개의 꽃이 보이는 만화경 | 여수초등과학교과연구회 | 실외
24 | 초등 | LED 팽이 만들기 | 신과함께연구회 | 실외
25 | 초등 | 회전낙하 로토콥터 | 우주사랑연구회 | 실외
26 | 초등 | 미니에어로켓 | 우주사랑연구회 | 실외
27 | 초등 | 자기부상팽이 | 전남영재교육연구회 | 실외
28 | 초등 | 날아라 에탄올 로켓 | 재능개발과학영재연구회 | 실외
29 | 초등 | 바다유리 업사이클링 | 전남교과교육연구회 과학교육분과 | 실외
30 | 초등 | 봉사활동 관리 및 운영 | 과학을사랑하는사람들 | 실외
31 | 초등 | 봉사활동 관리 및 운영 | 과학을사랑하는사람들 | 실외
32 | 초등 | 운영 및 안내 | 과학을사랑하는사람들 | 실외
33 | 초등 | 글라이더 | 과학을사랑하는사람들 | 실내(다목적체육관)
34 | 초등 | 돌아와요, 부메랑 | 과학을사랑하는사람들 | 실내(다목적체육관)
35 | 중등 | DNA 전기 영동 및 제한효소 실험 | 순천복성고등학교(바이오킹) | 실외
36 | 중등 | 아쿠아 화학 정원 | 백제고등학교(Beak 사이언스) | 실외
37 | 중등 | 이끼테라리움 만들기 | 영흥중학교(온새미로) | 실외
