2025학년도 1학기 방과후학교 프로그램 운영 공개 일정 안내

[표]
| ̊ ̊ ̊ ̊ ̊ 꿈, 감동, 추억을 만들어가는 세종도원교육 가 정 통 신 문 | | | 발 행 세종도원초등학교 담 당 늘봄지원팀장 |
2025학년도 1학기 늘봄학교 수업 공개 참관 안내 | | | | |
학부모님 안녕하십니까? 본교 늘봄학교 교육활동에 적극 동참해주시고 협조해 주셔서 감사드립니다. 드릴 말씀은 아래와 같이 1학기 늘봄학교 활동모습을 대면으로 진행하여 공개하고자 하오니 학습 현장을 직접 참관하시어 자녀들의 활동 모습을 살펴보시기 바랍니다. 참관 하신 후 좋은 의견을 참관록에 제시해 주시면 본교 방과후학교 발전을 위한 참고 자료로 활용하겠습니다. 참관을 희망하시는 학부모님께서는 5월 14일(수) 18시까지 학교종이 설문 응답을 통해 신청 부탁드립니다. 1. 수업공개 기간: 2025년 5월 19일(월) ~ 5월 23일(금) (자세한 사항은 뒷장의 일정표 참고) 2. 참관대상 가. 늘봄학교 프로그램 참여 학생의 보호자 나. 늘봄학교에 관심이 있는 본교 학부모 3. 기타사항 가. 참관 후 참관록 작성 나. 참관 후 1학기 늘봄학교 만족도 조사 응답 (추후 링크 안내) 2025. 5. 9. 세 종 도 원 초 등 학 교 장 | | | | |

공개일 | 프로그램명(부서명) | 시간 | 장소
5.19.(월) | 영어A (1~2) | 13:00~13:40(40분) | 영어1실
| 컴퓨터기초A (1~2) | 13:00~13:40(40분) | 컴2실
| 컴퓨터기초B (3~4) | 13:50~14:30(40분) | 컴2실
| 로봇과학A (1~2) | 13:00~13:40(40분) | 과학2실
| 로봇과학B (3~6) | 14:40~15:20(40분) | 과학2실
| 미술A (1~2) | 13:00~13:40(40분) | 방과후준비실
| 미술B (3~6) | 14:40~15:20(40분) | 방과후준비실
| 해금A (3~4) | 13:50~14:30(40분) | 음악실
| 해금A (5~6) | 14:40~15:20(40분) | 음악실
| 미니어쳐황토건축 (3~6) | 14:40~15:20(40분) | 과학1실
| 재미있는 역사A (3~4) | 13:50~14:30(40분) | 영어2실
| 재미있는 역사B (5~6) | 14:40~15:20(40분) | 영어2실
| 주산암산A (1~2) | 13:00~13:40(40분) | 과학1실
| 주산암산B (3~4) | 13:50~14:30(40분) | 과학1실
5.20.(화) | 한자 초급 (1~2) | 13:50~14:30(40분) | 놀이실
| 한자 중고급 (2~6) | 14:40~15:20(40분) | 놀이실
| 바둑A (1~2) | 13:50~14:30(40분) | 영어1실
| 바둑B (3~6) | 14:40~15:20(40분) | 영어1실
| 축구A (1~2) | 13:50~14:30(40분) | 운동장
| 점핑토탈공예A(1~2) | 13:50~14:30(40분) | 방과후준비실
| 방송댄스A (1~2) | 13:50~14:30(40분) | 다목적실
| 방송댄스B (3~6) | 14:40~15:20(40분) | 다목적실
| 독서논술A (1~2) | 13:50~14:30(40분) | 영어2실
| 독서논술B (3~6) | 14:40~15:20(40분) | 영어2실
5.21.(수) | 중국어A (1~2) | 13:50~14:30(40분) | 영어1실
| 중국어B (3~6) | 14:40~15:20(40분) | 영어1실
| 3D펜공예 (3~6) | 13:50~14:30(40분) | 놀이실
| 플루트 (3~6) | 13:50~14:30(40분) | 음악실
| 가야금 (2~6) | 13:50~14:30(40분) | 다목적실

| 컴퓨터자격증 (3~6) | 13:50~14:30(40분) | 컴2실
| 컴퓨터코딩A (3~6) | 13:50~14:30(40분) | 컴1실
| 미술C (1~2) | 13:50~14:30(40분) | 방과후준비실
| 주산암산C (1~2) | 13:50~14:30(40분) | 과학1실
| 주산암산D (3~4) | 14:40~15:20(40분) | 과학1실
| 로봇과학C (1~2) | 13:50~14:30(40분) | 과학2실
5.22.(목) | 음악줄넘기A (1~3) | 13:50~14:30(40분) | 강당
| 음악줄넘기B (4~6) | 14:40~15:20(40분) | 강당
| 바이올린A (1~2) | 13:50~14:30(40분) | 음악실
| 바이올린B (3~6) | 14:40~15:20(40분) | 음악실
| 축구B (3~4) | 13:50~14:30(40분) | 운동장
| 점핑토탈공예B (1~2) | 13:50~14:30(40분) | 방과후준비실
5.23.(금) | 영어B (1~2) | 13:00~13:40(40분) | 영어1실
| 영어C (3~4) | 13:50~14:30(40분) | 영어1실
| 영어D (5~6) | 14:40~15:20(40분) | 영어1실
| 생명과학A (1~2) | 13:00~13:40(40분) | 과학1실
| 생명과학B (3~6) | 14:40~15:20(40분) | 과학1실
| 쿠킹클래스A (1~2) | 13:00~13:40(40분) | 과학2실
| 쿠킹클래스B (3~6) | 14:40~15:20(40분) | 과학2실
| 락밴드 (3~6) | 14:40~15:20(40분) | 음악실
| 보드놀이 (1~2) | 13:00~13:40(40분) | 영어2실
| 컴퓨터코딩B (3~6) | 14:40~15:20(40분) | 컴1실
| 음악줄넘기C (1~2) | 13:00~13:40(40분) | 강당
| 음악줄넘기D (3~4) | 13:50~14:30(40분) | 강당
| 성장놀이A (1~2) | 13:00~13:40(40분) | 놀이실
| 성장놀이B (1~2) | 13:50~14:30(40분) | 놀이실
| 치어리딩 (3~6) | 14:40~15:20(40분) | 강당
