2025학년도 5학년 추천도서

[표]
청주교대 부설초 글나래 꿈샘터 | ※ 추천도서목록은 양질의 책을 안내하고 어떤 책을 읽어야 할지 고민되는 친구들을 위한 목록이예요. 학년별로만 읽어야하 는 것은 아니예요. 학생 개인의 선호와 독서 능력에 맞춰 즐거운 책 읽기를 하시길 바랍니다. 1학년 추천도서라 표시했다 고 해서 1학년 학생만 읽을 수 있고, 2-6학년 학생은 읽을 수 없다는 뜻이 아닙니다. 1학년부터 읽을 수 있다는 의미로 받 아들이면 좋겠어요. 자신의 독서 수준과 흥미에 따라 선택의 폭을 넓게 열어 두어야 해요. 다양한 주제의 책을 골고루 읽는 습관을 가지고 자신에게 알맞은 책을 읽다보면 여러분 몸과 마음이 매일 성장 발달하고 있듯이 독서 능력도 쑥쑥 자라날 것입니다. 읽었어요 칸에는 내용이 좋거나 재미있었으면 ☆, 잘 모르겠으면 △로 표시해 보세요.
| ※ 추천도서는 학교도서관에 학년별로 책등에 학년 표시(예:1추천) 라벨이 부착 되어 한 곳에 비치되어 있으니 참고하여 이 용하세요.

번호 | 책이름 | 지 은 이 | 출판사 | 읽었어요
1 | 보글보글 열 단어 한국사 라면 | 양화당 | 웅진주니어 |
2 | (그림으로 수학 잡는)깨봉수학교실. 1: 수의 DNA & 분 | 수 조봉한 | 동아시아사이언스 |
3 | (어린이를 위한)한국 근현대사 | 이광희 | 풀빛 |
4 | 5학년 2반 집중력 도둑 | 김연희 | 터닝페이지 |
5 | 감염 동물 | 김시경 | 위즈덤하우스 |
6 | 귀명사 골목의 여름 | 가시와바 사치코 | 한빛에듀 |
7 | 그래서 이런 말이 생겼대요 | 우리누리 | 길벗스쿨 |
8 | 그리고 펌킨맨이 나타났다 | 유소정 | 비룡소 |
9 | 기소영의 친구들 | 정은주 | 사계절 |
10 | 김주니를 찾아서 | 엘렌 오 | 길벗스쿨 |
11 | 나라에 일이 생기면 누가 해결하지? | 서지원 | 마음이음 |
12 | 나를 지키는 열두 가지 말 | 강승임 | 책속물고기 |
13 | 나무가 된 아이 | 남유하 | 사계절 |
14 | 내 마음을 알아주세요, 내 마음을 안아주세요 | 박진영 | 우리학교 |
15 | 노잣돈 갚기 프로젝트 | 김진희 | 문학동네 |
16 | 다이너마이트 | 김민령 외 | 사계절 |
17 | 다짜고짜 배구 | 윤주성 | 나무말미 |
18 | 단어의 여왕 | 신소영 | 비룡소 |
19 | 담임 선생님은 AI | 이경화 | 창비 |
20 | 딸기 우유 공약 | 문경민 | 주니어김영사 |
21 | 라면을 먹으면 숲이 사라져 | 최원형 | 책읽는곰 |
22 | 리얼 마래 | 황지영 | 문학과지성사 |

23 | 마음에도 근육이 필요해 | 마음꽃을 피우는 사람들 | 고래이야기 |
24 | 마지막 레벨 업 | 윤영주 | 창비 |
25 | 맞아 언니 상담소 | 김혜정 | 비룡소 |
26 | 변신도사 전우치 나가신다! | 김은중 | 키위북스 |
27 | 복제인간 윤봉구 | 임은하 | 비룡소 |
28 | 비행기에서 쓴 비밀 쪽지 | 임정진 | 그린애플 |
29 | 사춘기 대 갱년기 | 제성은 | 개암나무 |
30 | 세상을 아프게 하는 말, 이렇게 바꿔요! | 오승현 | 토토북 |
31 | 세상의 편견을 깬 과학자들 | 클레어 이머 | 다림 |
32 | 써드 | 최영희 | 동아시아사이언스 |
33 | 아일랜드 | 김지완 | 문학과지성사 |
34 | 악당의 무게 | 이현 | 휴먼어린이 |
35 | 애니캔 | 은경 | 별숲 |
36 | 어린이를 위한 인공지능과 4차 산업혁명 이야기 | 김상현 | 팜파스 |
37 | 엘 데포 | 시시 벨 | 밝은미래 |
38 | 열두 살 장래 희망 | 박성우 | 창비 |
39 | 열세 살의 걷기 클럽 | 김혜정 | 사계절 |
40 | 우리 반 욕 킬러 | 임지형 | 미래앤아이세움 |
41 | 우리는 우주를 꿈꾼다 | 에린 엔트라다 켈리 | 밝은미래 |
42 | 이상희 선생님이 들려주는 인류 이야기 | 이상희 | 우리학교 |
43 | 이토록 불편한 고기 | 크리스토프 드뢰서 | 그레이트북스 |
44 | 임금 열전 최고의 임금은 나야, 나! | 이향안 | 현암주니어 |
45 | 조선, 무엇이든 법대로 | 윤지선 | 마음이음 |
46 | 최악의 최애 | 김다노 | 다산어린이 |
47 | 파워북 : 누가, 왜, 어떻게 힘을 가졌을까? | 클레어 손더스 | 천개의바람 |
48 | 핑스 | 이유리 | 비룡소 |
49 | 한성이 서울에게 | 이현지 | 비룡소 |
50 | 히든 꼴까닥 섬의 비밀 | 이재문 | 위즈덤하우스 |
