2025학년도 6학년 추천도서

[표]
청주교대 부설초 글나래 꿈샘터 | ※ 추천도서목록은 양질의 책을 안내하고 어떤 책을 읽어야 할지 고민되는 친구들을 위한 목록이예요. 학년별로만 읽어야하 는 것은 아니예요. 학생 개인의 선호와 독서 능력에 맞춰 즐거운 책 읽기를 하시길 바랍니다. 1학년 추천도서라 표시했다 고 해서 1학년 학생만 읽을 수 있고, 2-6학년 학생은 읽을 수 없다는 뜻이 아닙니다. 1학년부터 읽을 수 있다는 의미로 받 아들이면 좋겠어요. 자신의 독서 수준과 흥미에 따라 선택의 폭을 넓게 열어 두어야 해요. 다양한 주제의 책을 골고루 읽는 습관을 가지고 자신에게 알맞은 책을 읽다보면 여러분 몸과 마음이 매일 성장 발달하고 있듯이 독서 능력도 쑥쑥 자라날 것 입니다. 읽었어요 칸에는 내용이 좋거나 재미있었으면 ☆, 잘 모르겠으면 △로 표시해 보세요.
| ※ 추천도서는 학교도서관에 학년별로 책등에 학년 표시(예:1추천) 라벨이 부착 되어 한 곳에 비치되어 있으니 참고하여 이 용하세요.

번호 | 책이름 | 지 은 이 | 출판사 | 읽었어요
1 | (어린이를 위한)역사의 쓸모 | 최태성 | 다산어린이 |
2 | 10대를 위한 공정하다는 착각 | 마이클 샌델 | 미래엔아이세움 |
3 | 10대를 위한 총균쇠 수업 | 김정진 | 넥스트씨 |
4 | 4카드 | 정유소영 | 웅진주니어 |
5 | 5학년 5반 아이들 | 윤숙희 | 푸른책들 |
6 | 건방진 건방이의 수련기 | 천효정 | 비룡소 |
7 | 고릴라에게서 평화를 배우다 | 김황 | 논장 |
8 | 고조를 찾아서 | 이지은 외 | 사계절 |
9 | 구석구석 세계의 에티켓 여행 | 박동석 | 봄볕 |
10 | 내가 모르는 사이에 | 김화요 | 웅진주니어 |
17 | 달걀이 탁! | 고이 | 마음이음 |
11 | 담을 넘은 아이 | 김정민 | 비룡소 |
12 | 댕기머리 탐정 김영서 | 정은숙 | 뜨인돌어린이 |
13 | 도서관을 훔친 아이 | 알프레도 고메스 세르다 | 풀빛미디어 |
14 | 돌이킬 수 없는 유혹, 중독 | 김성호 | 미래아이 |
15 | 리버보이 | 팀 보울러 | 다산책방 |
16 | 마이 가디언 | 이재문 | 이지북 |
18 | 마지막 지도 제작자 | 크리스티나 순톤밧 | 책읽는곰 |
19 | 뭐가 되고 싶냐는 어른들의 질문에 대답하는 법 | 알랭 드 보통 | MiraeN아이세움 |
20 | 미래가 온다, 뇌과학 | 김성화 | 와이즈만북스 |
21 | 백제 최후의 날 | 박상기 | 비룡소 |
22 | 별빛 전사 소은하 | 전수경 | 창비 |

23 | 불량한 자전거 여행 | 김남중 | 창비 |
24 | 수상한 기차역 | 박현숙 | 북멘토 |
25 | 쉬프팅 | 범유진 | 다산책방 |
26 | 시간 유전자 | 김혜정 | 라임 |
27 | 어둠을 걷는 아이들 | 크리스티나 순토르밧 | 책읽는곰 |
28 | 어린이를 위한 슬기로운 미디어 생활 | 권혜령 | 우리학교 |
29 | 여름과 가을 사이 | 박슬기 | 북멘토 |
30 | 여름이 반짝 | 김수빈 | 문학동네어린이 |
31 | 열 살, 논어를 만나다 | 한영희 | 어린이나무생각 |
32 | 열세 살 우리는 | 문경민 | 우리학교 |
33 | 오백 년째 열다섯 | 김혜정 | 위즈덤하우스 |
34 | 왜 유명한 거야, 이 그림? | 이유리 | 우리학교 |
35 | 왜왜왜 동아리 | 진형민 | 창비 |
36 | 우리가 박물관을 바꿨어요 | 배성호 | 초록개구리 |
37 | 우리들의 재판을 시작하겠습니다 | 율리 체 | 다산어린이 |
38 | 인공 지능 판사는 공정할까? | 오승현 | 개암나무 |
39 | 자유 대 규제, 무엇이 먼저일까? | 양서윤 | 개암나무 |
40 | 정글 인 더 스쿨 | 오선경 | 라임 |
41 | 찰랑찰랑 비밀 하나 | 황선미 | 위즈덤하우스 |
42 | 채사장의 지대넓얕 | 채사장 | 돌핀북 |
43 | 처음 배우는 4.19 혁명과 민주주의 | 박세영 | 북멘토 |
44 | 평범한 어린이가 말하는 모두의 행복 | 이데 에이사쿠 | 우리학교 |
45 | 푸른 사자 와니니 시리즈 | 이현 | 창비 |
46 | 플라스틱 인간 | 안수민 | 국민서관 |
47 | 해리엇 | 한윤섭 | 문학동네 |
48 | 햇빛초 대나무 숲의 모든 글이 삭제되었습니다 | 황지영 | 우리학교 |
49 | 환경과 생태 쫌 아는 10대 | 최원형 | 풀빛 |
50 | 황금성 : 백 년이 넘은 식당 | 리사 이 | 위즈덤하우스 |
