(2026.1.31.기준)

[표]
| 학생건강검진 시범사업 검진기관 현황
| ※ 비고의 "Y", "N"는 2024~2025년도 학생 건강검진 시범사업 참여 여부를 표기한 것이며, 2026년 학생 건강검진의 경우 이전 시범사업 참여 여부와 관계없이 사전 연락 후 방문 필요

순번 | 지역본부 | 지사명 | 검진기관명 | 병원구분 | 검진기관기호 | 주소 | 전화번호 | 비고
1 | 서울강원지역본부 | 원주횡성지사 | 연세대학교 원주세브란스기독병원 | 종합병원 | 32100035 | 강원특별자치도 원주시 일산로 20-0 (일산동) | 033-741-0114 | N
2 | 서울강원지역본부 | 원주횡성지사 | 강원특별자치도원주의료원 | 종합병원 | 32100086 | 강원특별자치도 원주시 서원대로 387 (개운동) | 033-760-4500 | Y
3 | 서울강원지역본부 | 원주횡성지사 | 횡성대성병원 | 병원 | 32200145 | 강원특별자치도 횡성군 횡성읍 횡성로 275 | 033-343-0901 | Y
4 | 서울강원지역본부 | 원주횡성지사 | 원주카톨릭병원 | 병원 | 32200188 | 강원특별자치도 원주시 남산로 199-0 원주카톨릭병원 | 033-743-5412 | N
5 | 서울강원지역본부 | 원주횡성지사 | 정병원 | 병원 | 32200412 | 강원특별자치도 원주시 원문로 141 (단계동) | 033-733-9988 | Y
6 | 서울강원지역본부 | 원주횡성지사 | 의료법인 성지의료재단 성지병원 | 병원 | 32200510 | 강원특별자치도 원주시 원일로 22 | 033-760-3103 | Y
7 | 서울강원지역본부 | 원주횡성지사 | 원주우리병원 | 병원 | 32200595 | 강원특별자치도 원주시 북원로 2572 | 033-743-9844 | N
8 | 서울강원지역본부 | 원주횡성지사 | 현대중앙병원 | 병원 | 32200749 | 강원특별자치도 원주시 상지대길 23 | 033-747-1199 | N
9 | 서울강원지역본부 | 원주횡성지사 | 원주성모병원 | 병원 | 32200889 | 강원특별자치도 원주시 소초면 치악로 2473 | 033-741-5000 | Y
10 | 서울강원지역본부 | 원주횡성지사 | 센트럴병원 | 병원 | 32200986 | 강원특별자치도 원주시 백간길 95 (단계동) | 033-742-9371 | Y
11 | 서울강원지역본부 | 원주횡성지사 | 원주불로병원 | 병원 | 32201141 | 강원특별자치도 원주시 평원로 165-0 (학성동) | 033-747-2000 | N
12 | 서울강원지역본부 | 원주횡성지사 | 연세메디하임병원 | 병원 | 32201192 | 강원특별자치도 원주시 문막읍 원문로 1419-0 연세메디하임병원 | 033-740-8800 | Y
13 | 서울강원지역본부 | 원주횡성지사 | 원주연세병원 | 병원 | 32201231 | 강원특별자치도 원주시 원일로 230 (학성동) | 033-1670-2020 | N
14 | 서울강원지역본부 | 원주횡성지사 | 원주센텀병원 | 병원 | 32201257 | 강원특별자치도 원주시 능라동길 70-0 (무실동) | 033-900-1111 | Y
15 | 서울강원지역본부 | 원주횡성지사 | 본베스트병원 | 병원 | 32201303 | 강원특별자치도 원주시 능라동길 51-0 6~7층 (무실동) | 033-742-7766 | Y
16 | 서울강원지역본부 | 원주횡성지사 | 의료법인삼산의료재단 삼산병원 | 병원 | 32201311 | 강원특별자치도 원주시 혁신로 5-0 1동 (반곡동,세인트병원) | 033-749-9900 | Y
17 | 서울강원지역본부 | 원주횡성지사 | 원주프라임병원 | 병원 | 32201338 | 강원특별자치도 원주시 남원로 556-0 지하1~6층 (개운동) | 1522-3375 | N
18 | 서울강원지역본부 | 원주횡성지사 | 연세명인병원 | 병원 | 32201346 | 강원특별자치도 원주시 평원로 100-0 (학성동) | 033-813-1111 | N
19 | 서울강원지역본부 | 원주횡성지사 | 권혁준내과의원 | 의원 | 32305826 | 강원특별자치도 원주시 서원대로 156 (단계동) | 033-746-2878 | N
20 | 서울강원지역본부 | 원주횡성지사 | 이재순내과의원 | 의원 | 32306989 | 강원특별자치도 원주시 원일로115번길 1 (일산동) | 033-748-5200 | N
21 | 서울강원지역본부 | 원주횡성지사 | 학교법인상지학원부설상지푸른의원 | 의원 | 32307811 | 강원특별자치도 원주시 상지대길 80 상지대학교부속상지한방병원 | (033-741-9235 | N
22 | 서울강원지역본부 | 원주횡성지사 | 우성애 여성의원 | 의원 | 32308281 | 강원특별자치도 원주시 남원로 589 (명륜동) | 033-766-7889 | N
23 | 서울강원지역본부 | 원주횡성지사 | 강남영내과의원 | 의원 | 32308981 | 강원특별자치도 원주시 행구로 39 2층 (개운동) | 033-763-6390 | N
24 | 서울강원지역본부 | 원주횡성지사 | 이성우내과의원 | 의원 | 32309619 | 강원특별자치도 원주시 평원로 54 (평원동) | 033-746-2888 | Y
25 | 서울강원지역본부 | 원주횡성지사 | 횡성정형외과의원 | 의원 | 32309694 | 강원특별자치도 횡성군 횡성읍 태기로19번길 14 | 033-343-5337 | N
26 | 서울강원지역본부 | 원주횡성지사 | 송광선내과의원 | 의원 | 32310307 | 강원특별자치도 원주시 문막읍 문막시장1길 14 | 033-734-2020 | N
27 | 서울강원지역본부 | 원주횡성지사 | 서울내과의원 | 의원 | 32310889 | 강원특별자치도 원주시 장미공원길 43-2 (단계동) | 033-732-1344 | N
28 | 서울강원지역본부 | 원주횡성지사 | 손경수내과의원 | 의원 | 32311206 | 강원특별자치도 원주시 남원로 665 1층일부,2,3,4층 (명륜동) | 033-763-8252 | Y
29 | 서울강원지역본부 | 원주횡성지사 | 연세민내과의원 | 의원 | 32311834 | 강원특별자치도 원주시 중앙로 86 4층 (중앙동, 세븐스타빌딩) | 033-733-7582 | Y
30 | 서울강원지역본부 | 원주횡성지사 | 원주영상의학과의원 | 의원 | 32312059 | 강원특별자치도 원주시 능라동길 61 정한빌딩 607~608호 (무실동 | )033-764-9700 | N
31 | 서울강원지역본부 | 원주횡성지사 | 이형준내과의원 | 의원 | 32312784 | 강원특별자치도 원주시 원일로 120 3층 302호 (중앙동, 중앙빌딩) | 033-732-7575 | Y
32 | 서울강원지역본부 | 원주횡성지사 | 이건내과의원 | 의원 | 32313004 | 강원특별자치도 원주시 시청로 84 203호 (무실동, 애드피아상가) | 033-747-8275 | N
33 | 서울강원지역본부 | 원주횡성지사 | 이용규내과의원 | 의원 | 32313314 | 강원특별자치도 원주시 무실로 178 2층 (단계동, 원예농협하나로클 | 럽033-731-7582 | N
34 | 서울강원지역본부 | 원주횡성지사 | 연희영상의학과의원 | 의원 | 32313357 | 강원특별자치도 원주시 북원로 2235-6 4층 (단계동, 남원주타워) | 033-735-7570 | N
35 | 서울강원지역본부 | 원주횡성지사 | 연세준내과의원 | 의원 | 32314361 | 강원특별자치도 원주시 서원대로 162 (단계동) | 033-733-7711 | N
36 | 서울강원지역본부 | 원주횡성지사 | 천정학내과의원 | 의원 | 32314418 | 강원특별자치도 원주시 남원로 528-11 3층 (단구동, 광덕빌딩) | 033-766-7588 | N
37 | 서울강원지역본부 | 원주횡성지사 | 횡성내과의원 | 의원 | 32314515 | 강원특별자치도 횡성군 횡성읍 태기로 35 | 033-344-8275 | N
38 | 서울강원지역본부 | 원주횡성지사 | 원주연세의원 | 의원 | 32314957 | 강원특별자치도 원주시 흥업면 남원로 57 2층 | 033-766-7881 | Y
39 | 서울강원지역본부 | 원주횡성지사 | 서울이내과의원 | 의원 | 32315317 | 강원특별자치도 원주시 서원대로 410 401~403호 (단구동, 한솔프라 | 자033-763-1300 | N
40 | 서울강원지역본부 | 원주횡성지사 | 정내과의원 | 의원 | 32315325 | 강원특별자치도 원주시 단구로 353 3층 (단구동) | 033-761-0822 | N
41 | 서울강원지역본부 | 원주횡성지사 | 김경태내과의원 | 의원 | 32315341 | 강원특별자치도 횡성군 횡성읍 태기로 27 | 033-344-6660 | N
