(1) 1학기

(2) 2학기
※ 상기 일정은 상황에 따라 변동될 수 있음.

[표]
| 2 | 0 | | 2 | | 6 | 학 | | | 년 | | 도 | | | | 학 | | 사 | | | | 일 | | 정 | | | | | | | | | | | | | | | | | | | | | | | | |

월 | 주 | 요일 | | | | | | | 일 수 | 수업 일수 | 공휴일 재량휴업일 | 행사활동
| | 일 | 월 | 화 | 수 | 목 | 금 | 토 | | | |
| 1 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 31 | 21 | ‣3/1(일): 삼일절 ‣3/2(월): 대체공휴일 | ‣3/3(화): 시업식 및 입학식 ‣3/9(월)~3/13(금): 진단평가 주간 ‣3/12(목): 학급자치회 임원 선출(2~6학년) ‣3/18(수): 교육과정설명회 & 학부모총회
| 2 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | | | |
| 3 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | | | |
| 4 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | | | |
| 5 | 29 | 30 | 31 | 1 | 2 | 3 | 4 | | | |
| 6 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 30 | 22 | | ‣4/20(월)~4/24(금): 과학 행사 주간 ‣4/29(수): 알뜰시장 ‣4/30(목): 운동회
| 7 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | | | |
| 8 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | | | |
| 9 | 26 | 27 | 28 | 29 | 30 | 1 | 2 | | | |
| 10 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 31 | 17 | ‣5/1(금):재량휴업일 ‣5/4(월):재량휴업일 ‣5/5(화):어린이날 ‣5/25(월): 대체공휴일 | ‣5/7(목)~5/18(월): 생존 수영(3~6학년)
| 11 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | | | |
| 12 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | | | |
| 13 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | | | |
| 14 | 31 | 1 | 2 | 3 | 4 | 5 | 6 | 30 | 21 | ‣6/3(수):지방선거일 ‣6/6(토):현충일 | ‣6/11(목)~6/12(금): 학부모대상 공개수업
| 15 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | | | |
| 16 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | | | |
| 17 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | | | |
| 18 | 28 | 29 | 30 | 1 | 2 | 3 | 4 | 31 | 16 | ‣7/17(금):제헌절 | ‣7/8(수): 1학기 교육과정운영평가회 ‣7/15(수): 학교장 학부모 대화의 날 ‣7/23(목): 여름방학식 ※여름방학(7월24일~8월17일):25일 ※늘봄교실: 7.24~8.11(13일)
| 19 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | | | |
| 20 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | | | |
| 21 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | | | |
| 22 | 26 | 27 | 28 | 29 | 30 | 31 | 1 | | | |
| | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 12 | 0 | ‣8/15(토):광복절 |
| | 9 | 10 | 11 | 12 | 13 | 14 | 15 | | | |
계 | | | | | | | | | 165 | 97 | |

월 | 주 | 요일 | | | | | | | 일 수 | 수업 일수 | 공휴일 재량휴업일 | 행사활동
| | 일 | 월 | 화 | 수 | 목 | 금 | 토 | | | |
| 1 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 19 | 10 | ‣8/17(월): 대체공휴일 |
| 2 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | | | |
| 3 | 30 | 31 | 1 | 2 | 3 | 4 | 5 | 30 | 20 | ‣9/24(목):추석연휴 ‣9/25(금):추석 |
| 4 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | | | |
| 5 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | | | |
| 6 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | | | |
| 7 | 27 | 28 | 29 | 30 | 1 | 2 | 3 | 31 | 20 | ‣10/3(토):개천절 ‣10/5(월):대체공휴일 ‣10/9(목):한글날 |
| 8 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | | | |
| 9 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | | | |
| 10 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | | | |
| 11 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | | | |
| 12 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 30 | 21 | |
| 13 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | | | |
| 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | | | |
| 15 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | | | |
| 16 | 29 | 30 | 1 | 2 | 3 | 4 | 5 | 31 | 22 | ‣12/25(금):성탄절 |
| 17 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | | | |
| 18 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | | | |
| 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | | | |
| 20 | 27 | 28 | 29 | 30 | 31 | 1 | 2 | | | |
| | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 31 | 0 | ‣1/1(목):신정 | ※학년말 방학(1/1~2/28): 58일간
| | 10 | 11 | 12 | 13 | 14 | 15 | 16 | | | |
| | 17 | 18 | 19 | 20 | 21 | 22 | 23 | | | |
| | 24 | 25 | 26 | 27 | 28 | 29 | 30 | | | |
| | 31 | 1 | 2 | 3 | 4 | 5 | 6 | 28 | 0 | ‣2/6(토):설연휴 ‣2/7(일):설날 ‣2/8(월):설연휴 ‣2/9(화):대체공휴일 |
| | 7 | 8 | 9 | 10 | 11 | 12 | 13 | | | |
| | 14 | 15 | 16 | 17 | 18 | 19 | 20 | | | |
| | 21/ 28 | 22 | 23 | 24 | 25 | 26 | 27 | | | |
2학기계 | | | | | | | | | 200 | 93 | |
| | | | | | | | | 165 | 97 | |
합계 | | | | | | | | | | 190 | |
