제120회 학교운영위원회(임시회) 심의결과 홍보
1. 개최일시: 2025.2.19.(수) 15:00~
2. 참석인원(참석/정수): 9명 / 12명
- 1 -

- 2 -

- 3 -

- 4 -

[표]
안건 번호 | 심의안건명 | 심의 결과 | 주요내용
807 | 2025학년도 세종도원초등학교 회계 세입세출예산(안) | 원안 가결 |
808 | 2025학년도 유치원 교육과정 학사일정(안) | 원안 가결 | 1. 연간 수업일수 (총 232일) 가. 학기 구분 - 1학기 2025. 3. 1.(금) ~ 7.22.(화) 수업일수 : 96일 - 2학기 2025. 8. 20.(화) ~ 2025. 12. 24.(수) 수업일수: 85일 나. 방학 기간 - 여름 방학: 2025. 7. 23.(수) ~ 8. 19.(화) - 겨울 방학: 2025. 12. 26.(금) ~ 2026. 2. 28.(토) 다. 일일 교육시간은 점심시간을 포함하여 480분으로 함 (08:30-16:30)
809 | 2025학년도 유치원 방과후과정 심의(안) | 원안 가결 | 1. 외부강사 특성화프로그램 (유아체육, 공예놀이) 운영 2. 운영기간: 2025.3월~2026.2월 3. 운영시간: 12:40~16:40중 주1회 40분 실시
810 | 2025학년도 유치원 인성교육 계획(안) | 원안 가결 | 1. 주요내용 - 교육과정과 연계한 인성교육 - 인성교육 중심 학교문화 확산 - 교육공동체와 함께하는 인성교육
811 | 2025학년도 유치원 학교안전사고 예방 계획(안) | 원안 가결 | 1. 교직원 안전교육 직무연수 이수 2. 체험중심 학생안전교육 실시

안건 번호 | 심의안건명 | 심의 결과 | 주요내용
812 | 2025 세종도원 인성교육계획(안) | 원안 가결 | 1. 주요내용 - 인성 친화적 학교문화 조성 - 교육과정기반 인성교육 운영 - 가정, 지역사회와 함께하는 인성교육
813 | 2025학년도 학교폭력전담기구 학부모위원 선출(안) | 원안 가결 | 1. 주요내용 - 2025학년도 세종도원초등학교 학교폭력전담기구 학부모위원(3명)을 학교운영위원회 심의를 거쳐 선출하고자 함
814 | 2025학년도 방과후학교 연간 운영 계획(안 | 원안 가결 | 1. 운영기간: 1학기(여름방학 포함), 2학기(겨울방학 포함) 총 2분기 운영) 2. 수 강 료 3. 수강료 환불 규정 4. 개설 프로그램 : 독서논술, 한자, 영어야 놀자, 중국어, 재미있는역사, 주산암 산, 로봇과학, 생명과학, 축국, 방송댄스, 음악줄넘기, 성장놀이, 치어리딩, 락 밴드, 바이올린, 플루트, 가야금, 해금, 미술, 점핑토탈공예, 3D펜공예, 미니 어쳐 황토건축, 컴퓨터 기초, 컴퓨터 자격증, 컴퓨터 코딩, 바둑, 보드놀이, 쿠킽클래스
815 | 2025학년도 영어회화전문강사 재계약(안) | 원안 가결 | 1. 계약기간 : 2025.3.1.~2026.2.28.(1년) 2. 강사 : 최** ※ 2024년 영어회화전문강사 능력 평가 결과에 따라 재계약 체결
816 | 2025 초등돌봄(선택형늘봄) 교실 운영계획 (안) | 원안 가결 | 1. 운영기간 : 2025. 3. 4.(화) ~ 2. 27.(금) 연간운영 (주말 및 공휴일 제외/ 연간 방학5일 운영) 2. 돌봄전용 3개실, 겸용교실 1개실 운영 3. 재료비, 수업료, 간식비, 중식비는 뭄상으로 지원

안건 번호 | 심의안건명 | 심의 결과 | 주요내용
817 | 2025학년도 현장체험학습 계획(안) | 원안 가결 |
818 | 2025 학교급식 운영계획(안) | 수정 가결 | 1. 급식기간: 2025.3.1.~2026.2.28. (급식실 190일) 2. 급식시간 및 운영계획
819 | 2024학년도 학교발전기금 조성․운용 변경 계획(안) | 원안 가결 |
820 | 2025학년도 학교발전기금 조성․운용 계획(안) | 원안 가결 | 1. 조성 및 운용 기간 : 2025. 3. 1. ~ 2026. 2. 28. 2. 조성방법 : 기부금품, 모금금품, 자발적 조성금품, 이자 및 이월수입 3. 수입 및 지출계획 (단위: 원) 사업명 수입계획 지출계획 비고 교육용 기자재 및 도서의 구입 1,000,000 1,000,000 학교체육활동 기타 학예활동의 지원 1,000,000 1,000,000 학생복지 및 학생자치활동의 지원 4,000,000 4,000,000 합계 6,000,000 6,000,000

사업명 | 수입계획 | 지출계획 | 비고
교육용 기자재 및 도서의 구입 | 1,000,000 | 1,000,000 |
학교체육활동 기타 학예활동의 지원 | 1,000,000 | 1,000,000 |
학생복지 및 학생자치활동의 지원 | 4,000,000 | 4,000,000 |
합계 | 6,000,000 | 6,000,000 |

안건 번호 | 심의안건명 | 심의 결과 | 주요내용
821 | 2025학년도 학교교육과정 운영 계획 및 3~4학년 학교자율시간 심의(안) | 원안 가결 | 1. 연간 수업일수: 190일 1) 학기 구분 가) 1학기: 2025. 3. 1.(토) ~ 2025. 8. 19.(화) 수업일수 97일 나) 2학기: 2025. 8. 20.(수) ~ 2026. 2. 28.(토) 수업일수 93일 2) 학교장재량휴업일: 3일( 5.1.(목)(개교기념일), 5.2.(금), 10.10.(금) ) 3) 방학 기간 가) 여름 방학: 2025. 7. 24.(목) ~ 2025. 8. 19.(화) 나) 겨울 방학: 2026. 1. 8.(목) ~ 2026. 2. 28.(토)
822 | 세종도원초등학교운영 위원회 규정 개정(안) | 원안 가결 | 1. 학교운영위원 정수 개정 - 기존: 12명 (학부모위원6명, 교원위원 4명, 지역위원 2명) - 변경: 11명 (학부모위원5명, 교원위원 4명, 지역위원 2명)
823 | 2025학년도 세종도원초 6학년 수학여행 운영 계획(안) | 원안 가결 | 1. 기간: 2025. 4. 16.~ 4. 18. (2박 3일) 2. 대상: 6학년 3. 장소: 서울 일원 4. 경비: 학생 332,501원, 교사 348,101원 (경비는 참가 학생수 및 사전답사 후 세부계획 확정 후 변경될 수 있음)
824 | 2025학년도 졸업앨범 제작 계획(안) | 원안 가결 | 1. 수량: 6학년 학생 중 구입 희망자 수(약 105부 예정) 2. 규격 : 9×12인치 (250mm × 315mm) 3. 금액: 작년 단가 58,000원 ± 2,000원 (* 구입 학생 수에 따라 변동됨)
825 | 2024학년도 제5회 세입세출 추가경정예산(안) | 원안 가결 |
826 | 2025학년도 방과후학교 운영계획 긴급 수정(안) | 원안 가결 | 1. 3월 4일부터 운영예정이었던 방과후학교 강좌 중 7개의 프로그램 강사 미 모집으로 인해 대학 연계 강사모집으로 변경되어 3월 3주(3.17.(월))부터 수업 지원이 가능 2. 3월 4일(화)~3월 14일(금) 2주 공강에 따른 학교 자체 방안 수립이 결정되어 7개의 강좌는 교내 교사 수업으로 운영예정(공동체놀이, 초기문해 지도 학습) 3. 수용비는 기존대로 징수되고 재료비 및 교재비는 수업일수에 맞춰 수익자 부담 징수
