제125회 학교운영위원회(임시회) 심의결과 홍보
1. 개최일시: 2026. 2. 13.(금) 13:30
2. 참석인원(참석/정수) : 7명/11명

[표]
안건번호 | 심의안건명 | 심의결과 | 주요내용
857 | 2026학년도 세종도원초등학교 회계 본예산(안) | 원안가결 | ㅇ 주요내용
858 | 2026학년도 학교안전사고 예방 계획(안) | 원안가결 | ㅇ 학교 대응조직 구성
859 | 2025학년도 학교발전기금 졸업생 장학금 지급 심의(안) | 원안가결 | o 주요내용 - 1~3순위는 공식적 증빙서류가 구비되었을 경우에만 인정하며, 4순위인 경우 미성년 자녀만을 기준함.
860 | 2024학년도 학교발전기금 졸업생 장학금 지급 심의(안) | 원안가결 | o 주요내용 - 1~3순위는 공식적 증빙서류가 구비되었을 경우에만 인정하며, 4순위인 경우 미성년 자녀만을 기준함.
861 | 2026학년도 보결 수업 운영 계획(안) | 원안가결 | o 주요내용 - 시간당 보결수업비: 15,000원 - 학기별 최대 보결수입비: 180,000원
862 | 2026학년도 학교폭력 업무 경감지원 시간강사 채용 운영계획(안) | 원안가결 | o 주요내용 - 시간당(차시): 27,000원 * 단, 강사선발의 어려움 발생시 27,000원~35,000원 범위안에서 단계적 보수 상향하여 채용

안건번호 | 심의안건명 | 심의결과 | 주요내용
863 | 2026학년도 세종 도원 인성교육 계획(안) | 원안가결 | ㅇ 주요내용 가. 인성 친화적 학교문화 조성 나. 교육과정 기반 인성교육 운영 다. 가정·지역사회와 함께하는 인성교육
864 | 2026학년도 유치원 학교안전사고 예방 계획(안) | 원안가결 | ㅇ 학교 대응조직 구성
865 | 2026 유치원 교육과정 학사일정 심의(안) | 원안가결 | o 주요내용 - 수업일 181일 + 방학중 방과후과정 55일: 236일 - 학기구분 1학기 2026. 3. 3.(화) ~ 7.16.(금) 수업일수 : 93일 2학기 2026. 8. 20.(목) ~ 12. 24.(목) 수업일수: 87일 - 방학기간 여름 방학: 2026. 7. 20.(월) ~ 8. 19.(수) 겨울 방학: 2026. 12. 28.(월) ~ 2027. 2. 28.(일)
866 | 2026 유치원 방과후 과정 학사일정 심의(안) | 원안가결 | o 주요내용 - 운영기간: 2026.3.2.~2027.2.16. - 운영시간: 08:00~08:30
867 | 2026학년도 유치원 인성교육계획(안) | 원안가결 | o 주요내용 가. 교육과정과 연계한 인성교육 나. 인성교육 중심 학교문화 확산 다. 교육공동체와 함께하는 인성교육
868 | 2026학년도 영어회화전문강사 채용 심의(안) | 원안가결 | o 주요내용 - 계약기간: 2026.3.1.~2027.2.28. - 담당업무: 영어 수업 담당 외
869 | 2026학년도 학교급식 운영계획 (안) | 수정가결 | o 주요내용 - 급식횟수: 2026.3.1.~2027.2.28. (190일) - 급식인원: 563명 (유치원, 교직원 포함)
870 | 2026학년도 늘봄학교(방과후· 돌봄) 운영 계획(안) | 원안가결 | ㅇ 주요내용 가. 방과후학교 운영계획 - 1기: 2026년 3월 3일 ~ 2026년 8월 7일(여름방학 포함) - 2기: 2026년 8월 20일 ~ 2027년 1월 29일(겨울방학 포함) ※ 방학 중 운영시간 조정 나. 초등 돌봄 프로그램 - 운영 기간: 2026. 3. 3.(화) ~ 2027. 2. 겨울방학중 운영종료일 (주말 및 공휴일 제외) ※ 추후 결정되는 학사일정에 따라 방학중 돌봄방학일 안내 예정 - 대상 학년: 2026학년도 1~2학년

안건번호 | 심의안건명 | 심의결과 | 주요내용
871 | 2025학년도 학교발전기금 조성․운용 변경 계획(안) | 원안가결 | o 주요내용
872 | 2026학년도 세종도원초등학교 발전기금 조성 및 운영 계획(안) | 원안가결 | o 주요내용
873 | 2026학년도 졸업앨범 제작 계획(안) | 원안가결 | o 주요내용 - 부수 : 6학년 학생 중 구입 희망자 수(약 111부 예정) - 규격 : 10×13인치 (250mm × 335mm) - 단가: 작년 단가 58,000원 ± 2,000원 (*구입 학생 수에 따라 변동됨)
874 | 2025학년도 세종도원초등학교 회계 제5회 세입세출추가경정 예산(안) | 원안가결 | o 주요내용
875 | 2026학년도 방과후 프로그램 운영 계획 변경(안) | 원안가결 | o 주요내용 - 수강료 규정 - 환불규정: 삭제 (방과후(초1~6) 프로그램은 전체 무상 지원 지침에 따라 수익자 부담 징수 항목이 존재하지 않으므로, 수강료 반환 및 환불 규 정 적용 대상에서 제외함)

안건번호 | 심의안건명 | 심의결과 | 주요내용
876 | 2026학년도 현장체험학습 계획 심의(안) | 원안가결 | o 주요내용
877 | 2026학년도 학교교육과정 운영 계획 및 학교자율시간 심의(안) | 원안가결 | o 주요내용 1) 학기 구분 가) 1학기: 2026. 3. 1.(일) ~ 2026. 8. 19.(수) 수업일수 97일 나) 2학기: 2026. 8. 20.(목) ~ 2027. 2. 28.(일) 수업일수 93일 2) 학교장재량휴업일: 2일( 5.1.(금)(개교기념일), 5.4.(월) ) 3) 방학 기간 가) 여름 방학: 2026. 7. 24.(금) ~ 2026. 8. 19.(수) 나) 겨울 방학: 2027. 1. 6.(수) ~ 2027. 2. 28.(일)
878 | 2026학년도 학습 지원 소프트웨어 (교육자료) 활용 (안) | 원안가결 | o 주요내용 - 학습지원 소프트웨어 선정 기준 ① 최소처리원칙 준수 ② 개인정보 안전조치 의무 ③ 열람/정정/삭제/처리정지 절차 ④ 만14세 미만 아동의 개인정보 보호 ⑤ 보호책임자/제3자 제공/위탁 등
